appid,name,release_date,price,header_image,metacritic_score,genres,positive,negative,estimated_owners,average_playtime_forever,average_playtime_2weeks,discount,tags,pct_pos_total,num_reviews_total
570,Dota 2,2013-07-09,0.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/570/header.jpg?t=1739210483,90,"['Action', 'Strategy', 'Free To Play']",1998462,451338,200000000 - 500000000,43031,1536,0,"{'Free to Play': 59933, 'MOBA': 20158, 'Multiplayer': 15359, 'Strategy': 14252, 'e-sports': 11780, 'Team-Based': 10962, 'Competitive': 8286, 'Action': 7920, 'Online Co-Op': 7464, 'PvP': 6046, 'Difficult': 5349, 'Co-op': 4316, 'RTS': 4110, 'RPG': 3792, 'Tower Defense': 3774, 'Fantasy': 3749, 'Character Customization': 2930, 'Replay Value': 2755, 'Action RPG': 2460, 'Simulation': 1979}",81,2452595
252490,Rust,2018-02-08,39.99,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/252490/header.jpg?t=1738927718,69,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']",1043708,152272,20000000 - 50000000,21195,836,0,"{'Survival': 18592, 'Crafting': 11822, 'Multiplayer': 11755, 'Open World': 11220, 'Open World Survival Craft': 8769, 'Building': 8354, 'PvP': 7651, 'Sandbox': 7238, 'Adventure': 5868, 'First-Person': 5355, 'Action': 4907, 'Nudity': 4793, 'FPS': 4749, 'Shooter': 3890, 'Co-op': 3826, 'Online Co-Op': 3770, 'Indie': 3099, 'Post-apocalyptic': 2979, 'Early Access': 2915, 'Simulation': 2600}",87,993856
1172470,Apex Legends™,2020-11-04,0.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1172470/header.jpg?t=1741192528,88,"['Action', 'Adventure', 'Free To Play']",660150,322363,50000000 - 100000000,9450,548,0,"{'Free to Play': 2170, 'Battle Royale': 1483, 'Multiplayer': 1477, 'FPS': 1442, 'Shooter': 1350, 'First-Person': 1099, 'PvP': 931, 'Action': 825, 'Hero Shooter': 762, 'Team-Based': 736, 'Tactical': 556, 'Sci-fi': 501, 'Survival': 493, 'Loot': 491, 'Co-op': 475, 'Character Customization': 474, 'Funny': 456, 'Lore-Rich': 368, 'Cyberpunk': 355, 'Cinematic': 296}",67,983230
292030,The Witcher 3: Wild Hunt,2015-05-18,39.99,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/292030/header.jpg?t=1736424367,93,['RPG'],791139,31979,10000000 - 20000000,4411,521,0,"{'Open World': 12704, 'RPG': 10744, 'Story Rich': 9941, 'Atmospheric': 6852, 'Mature': 6780, 'Fantasy': 6537, 'Adventure': 6423, 'Singleplayer': 6228, 'Nudity': 6046, 'Choices Matter': 5754, 'Great Soundtrack': 4711, 'Third Person': 4677, 'Medieval': 4545, 'Action': 4392, 'Multiple Endings': 3940, 'Action RPG': 3884, 'Dark Fantasy': 3699, 'Magic': 3693, 'Dark': 2205, 'Sandbox': 1326}",96,751939
1245620,ELDEN RING,2022-02-24,59.99,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1245620/header.jpg?t=1739922037,94,"['Action', 'RPG']",956144,73714,20000000 - 50000000,11768,1587,0,"{'Souls-like': 6823, 'Open World': 4941, 'Dark Fantasy': 4868, 'RPG': 4617, 'Difficult': 4500, 'Action RPG': 3521, 'Third Person': 3355, 'Multiplayer': 3322, 'Fantasy': 3175, 'Singleplayer': 3066, 'Online Co-Op': 2969, 'Action': 2791, 'Co-op': 2403, 'Atmospheric': 2352, 'PvP': 2332, 'Great Soundtrack': 2309, 'Violent': 2245, '3D': 2035, 'Character Customization': 1298, 'Family Friendly': 1293}",92,749606
413150,Stardew Valley,2016-02-26,14.99,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/413150/header.jpg?t=1711128146,89,"['Indie', 'RPG', 'Simulation']",841413,13440,20000000 - 50000000,4871,158,0,"{'Farming Sim': 7706, 'Pixel Graphics': 7169, 'Multiplayer': 7088, 'Life Sim': 7083, 'RPG': 6396, 'Relaxing': 6108, 'Agriculture': 5247, 'Simulation': 5198, 'Crafting': 4386, 'Sandbox': 4284, 'Indie': 4181, 'Building': 3535, 'Singleplayer': 3275, 'Casual': 3274, 'Open World': 3241, '2D': 2935, 'Cute': 2747, 'Dating Sim': 2724, 'Great Soundtrack': 2521, 'Fishing': 2220}",98,733626
739630,Phasmophobia,2020-09-18,19.99,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/739630/header.jpg?t=1740090955,0,"['Action', 'Indie', 'Early Access']",723620,31340,10000000 - 20000000,2316,430,0,"{'Horror': 4333, 'Online Co-Op': 2889, 'Multiplayer': 2625, 'Psychological Horror': 2066, 'Co-op': 1812, 'VR': 1536, 'Supernatural': 1524, 'First-Person': 1409, 'Investigation': 1321, 'Dark': 1002, 'Demons': 932, 'Detective': 922, 'Mystery': 873, 'Thriller': 647, '3D': 643, 'Early Access': 619, 'Indie': 564, 'Action': 476, 'Tactical': 466, 'Singleplayer': 366}",96,616505
945360,Among Us,2018-11-16,2.99,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/945360/header.jpg?t=1731953093,85,['Casual'],640795,56840,20000000 - 50000000,0,0,40,"{'Multiplayer': 1935, 'Social Deduction': 1333, 'Online Co-Op': 1333, 'Space': 1254, 'Survival': 1039, '2D': 1011, 'Funny': 974, 'Psychological': 862, 'Party Game': 846, 'Co-op': 841, 'Cartoony': 757, 'Local Multiplayer': 740, 'Casual': 694, 'Action': 673, 'PvP': 671, 'Sci-fi': 670, 'Colorful': 663, 'Top-Down': 663, 'Minigames': 661, 'Aliens': 658}",92,613666
236390,War Thunder,2013-08-15,0.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/236390/header.jpg?t=1740747992,81,"['Action', 'Massively Multiplayer', 'Simulation', 'Free To Play']",464143,267176,20000000 - 50000000,8033,797,0,"{'Free to Play': 6063, 'Simulation': 6013, 'Vehicular Combat': 5097, 'Combat': 4770, 'World War II': 4013, 'VR': 3994, 'Flight': 3979, 'War': 3846, 'Military': 3841, 'Tanks': 3789, 'Multiplayer': 3697, 'Naval Combat': 3672, 'Modern': 3638, 'Massively Multiplayer': 3637, 'Cold War': 3599, 'Realistic': 3578, 'Shooter': 3571, 'Action': 3568, 'Third Person': 3528, 'Third-Person Shooter': 3524}",73,602369
367520,Hollow Knight,2017-02-24,14.99,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/367520/header.jpg?t=1695270428,87,"['Action', 'Adventure', 'Indie']",388369,11795,10000000 - 20000000,2190,519,0,"{'Metroidvania': 5452, 'Souls-like': 4227, 'Platformer': 4130, 'Great Soundtrack': 4019, 'Difficult': 3920, '2D': 3917, 'Indie': 3688, 'Singleplayer': 3144, 'Atmospheric': 3081, 'Exploration': 3058, 'Adventure': 2805, 'Story Rich': 2729, 'Hand-drawn': 2075, 'Multiple Endings': 2015, 'Action': 2007, 'Dark Fantasy': 1869, 'Open World': 1740, 'Cute': 1621, 'Controller': 1299, 'Side Scroller': 1237}",97,357036
