appid,game_name,tag,tag_votes,score_normalized
570,Dota 2,Free to Play,59933,1.0
570,Dota 2,MOBA,20158,0.336342
570,Dota 2,Multiplayer,15359,0.25627
570,Dota 2,Strategy,14252,0.237799
570,Dota 2,e-sports,11780,0.196553
570,Dota 2,Team-Based,10962,0.182904
570,Dota 2,Competitive,8286,0.138254
570,Dota 2,Action,7920,0.132148
570,Dota 2,Online Co-Op,7464,0.124539
570,Dota 2,PvP,6046,0.100879
570,Dota 2,Difficult,5349,0.08925
570,Dota 2,Co-op,4316,0.072014
570,Dota 2,RTS,4110,0.068577
570,Dota 2,RPG,3792,0.063271
570,Dota 2,Tower Defense,3774,0.06297
236390,War Thunder,Free to Play,6063,1.0
236390,War Thunder,Simulation,6013,0.991753
236390,War Thunder,Vehicular Combat,5097,0.840673
236390,War Thunder,Combat,4770,0.786739
236390,War Thunder,World War II,4013,0.661884
236390,War Thunder,VR,3994,0.65875
236390,War Thunder,Flight,3979,0.656276
236390,War Thunder,War,3846,0.634339
236390,War Thunder,Military,3841,0.633515
236390,War Thunder,Tanks,3789,0.624938
236390,War Thunder,Multiplayer,3697,0.609764
236390,War Thunder,Naval Combat,3672,0.605641
236390,War Thunder,Modern,3638,0.600033
236390,War Thunder,Massively Multiplayer,3637,0.599868
236390,War Thunder,Cold War,3599,0.593601
252490,Rust,Survival,18592,1.0
252490,Rust,Crafting,11822,0.635865
252490,Rust,Multiplayer,11755,0.632261
252490,Rust,Open World,11220,0.603485
252490,Rust,Open World Survival Craft,8769,0.471654
252490,Rust,Building,8354,0.449333
252490,Rust,PvP,7651,0.411521
252490,Rust,Sandbox,7238,0.389307
252490,Rust,Adventure,5868,0.31562
252490,Rust,First-Person,5355,0.288027
252490,Rust,Action,4907,0.263931
252490,Rust,Nudity,4793,0.257799
252490,Rust,FPS,4749,0.255432
252490,Rust,Shooter,3890,0.20923
252490,Rust,Co-op,3826,0.205787
292030,The Witcher 3: Wild Hunt,Open World,12704,1.0
292030,The Witcher 3: Wild Hunt,RPG,10744,0.845718
292030,The Witcher 3: Wild Hunt,Story Rich,9941,0.782509
292030,The Witcher 3: Wild Hunt,Atmospheric,6852,0.539358
292030,The Witcher 3: Wild Hunt,Mature,6780,0.53369
292030,The Witcher 3: Wild Hunt,Fantasy,6537,0.514562
292030,The Witcher 3: Wild Hunt,Adventure,6423,0.505589
292030,The Witcher 3: Wild Hunt,Singleplayer,6228,0.490239
292030,The Witcher 3: Wild Hunt,Nudity,6046,0.475913
292030,The Witcher 3: Wild Hunt,Choices Matter,5754,0.452928
292030,The Witcher 3: Wild Hunt,Great Soundtrack,4711,0.370828
292030,The Witcher 3: Wild Hunt,Third Person,4677,0.368152
292030,The Witcher 3: Wild Hunt,Medieval,4545,0.357761
292030,The Witcher 3: Wild Hunt,Action,4392,0.345718
292030,The Witcher 3: Wild Hunt,Multiple Endings,3940,0.310139
367520,Hollow Knight,Metroidvania,5452,1.0
367520,Hollow Knight,Souls-like,4227,0.775312
367520,Hollow Knight,Platformer,4130,0.75752
367520,Hollow Knight,Great Soundtrack,4019,0.737161
367520,Hollow Knight,Difficult,3920,0.719002
367520,Hollow Knight,2D,3917,0.718452
367520,Hollow Knight,Indie,3688,0.676449
367520,Hollow Knight,Singleplayer,3144,0.576669
367520,Hollow Knight,Atmospheric,3081,0.565114
367520,Hollow Knight,Exploration,3058,0.560895
367520,Hollow Knight,Adventure,2805,0.51449
367520,Hollow Knight,Story Rich,2729,0.50055
367520,Hollow Knight,Hand-drawn,2075,0.380594
367520,Hollow Knight,Multiple Endings,2015,0.369589
367520,Hollow Knight,Action,2007,0.368122
413150,Stardew Valley,Farming Sim,7706,1.0
413150,Stardew Valley,Pixel Graphics,7169,0.930314
413150,Stardew Valley,Multiplayer,7088,0.919803
413150,Stardew Valley,Life Sim,7083,0.919154
413150,Stardew Valley,RPG,6396,0.830003
413150,Stardew Valley,Relaxing,6108,0.792629
413150,Stardew Valley,Agriculture,5247,0.680898
413150,Stardew Valley,Simulation,5198,0.674539
413150,Stardew Valley,Crafting,4386,0.569167
413150,Stardew Valley,Sandbox,4284,0.55593
413150,Stardew Valley,Indie,4181,0.542564
413150,Stardew Valley,Building,3535,0.458733
413150,Stardew Valley,Singleplayer,3275,0.424994
413150,Stardew Valley,Casual,3274,0.424864
413150,Stardew Valley,Open World,3241,0.420581
739630,Phasmophobia,Horror,4333,1.0
739630,Phasmophobia,Online Co-Op,2889,0.666744
739630,Phasmophobia,Multiplayer,2625,0.605816
739630,Phasmophobia,Psychological Horror,2066,0.476806
739630,Phasmophobia,Co-op,1812,0.418186
739630,Phasmophobia,VR,1536,0.354489
739630,Phasmophobia,Supernatural,1524,0.351719
739630,Phasmophobia,First-Person,1409,0.325179
